as_of,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612
5/3/2000,79.2815,125.033,189.493,12.96,1340.52,33.9531,38.3047,26.2034,60.0144,41.3187,17.8885,49.9678
5/4/2000,79.6288,126.852,189.788,13.12,1336.88,33.8164,38.4101,26.3143,59.8434,41.1705,17.9425,50.1197
5/5/2000,81.3656,129.216,192.049,13.27,1355.1,34.3757,38.7263,26.6714,61.1825,41.8538,18.1366,50.3475
5/6/2000,81.3656,129.216,192.049,13.27,1355.1,34.3757,38.7263,26.6714,61.1825,41.8538,18.1366,50.3475
5/7/2000,81.3656,129.216,192.049,13.27,1355.1,34.3757,38.7263,26.6714,61.1825,41.8538,18.1366,50.3475
5/8/2000,79.3683,125.852,190.378,13.36,1362.38,34.1644,38.5787,26.5113,59.9431,41.5986,18.2552,50.1576
5/9/2000,77.1106,123.487,189.1,13.34,1358.74,33.8785,38.4101,26.4374,59.2024,41.2528,18.2444,49.8918
5/10/2000,72.7688,119.213,185.464,13.25,1336.88,33.1959,37.9252,26.1911,57.379,40.4049,18.1258,49.9298
5/11/2000,75.3739,121.669,189.1,13.35,1362.38,33.7924,38.4523,26.8068,58.4047,41.1376,18.4169,50.8411
5/12/2000,76.2422,122.305,190.378,13.4,1384.24,34.1031,38.642,26.5852,59.0742,41.5245,18.4924,51.2587
5/13/2000,76.2422,122.305,190.378,13.4,1384.24,34.1031,38.642,26.5852,59.0742,41.5245,18.4924,51.2587
5/14/2000,76.2422,122.305,190.378,13.4,1384.24,34.1031,38.642,26.5852,59.0742,41.5245,18.4924,51.2587
5/15/2000,77.1106,124.669,194.211,13.55,1413.38,34.8613,39.2323,27.2009,60.3135,42.4383,18.8159,52.3978
5/16/2000,79.542,127.852,196.766,13.67,1417.02,35.1844,39.6117,27.3363,61.2537,42.8417,18.8482,52.4738
5/17/2000,77.8921,125.397,194.702,13.55,1406.09,34.7494,39.2744,27.0777,60.3563,42.3148,18.6757,51.9802
5/18/2000,76.5027,123.033,193.031,13.45,1409.74,34.5008,39.0425,27.0285,59.4873,42.0102,18.6757,52.0561
5/19/2000,74.1581,119.213,189.198,13.35,1384.24,33.78,38.4523,26.499,57.6924,41.1293,18.46,51.3347
5/20/2000,74.1581,119.213,189.198,13.35,1384.24,33.78,38.4523,26.499,57.6924,41.1293,18.46,51.3347
5/21/2000,74.1581,119.213,189.198,13.35,1384.24,33.78,38.4523,26.499,57.6924,41.1293,18.46,51.3347
5/22/2000,72.9424,116.576,187.331,13.28,1384.24,33.6184,38.3468,26.5852,57.2081,40.94,18.46,51.5245
5/23/2000,70.0768,111.393,185.07,13.21,1384.24,32.9846,37.883,26.3266,55.2708,40.1579,18.2767,51.2208
5/24/2000,72.2477,113.303,186.25,13.26,1402.45,33.5812,38.0622,27.1762,56.2109,40.8906,18.4061,51.9042
5/25/2000,71.8136,112.212,185.562,13.07,1391.52,33.171,37.8303,26.7083,55.8263,40.3802,18.1905,50.993
5/26/2000,71.7267,112.03,185.464,13.09,1391.52,33.084,37.9358,26.7945,55.6127,40.2814,18.1905,50.993
5/27/2000,71.7267,112.03,185.464,13.09,1391.52,33.084,37.9358,26.7945,55.6127,40.2814,18.1905,50.993
5/28/2000,71.7267,112.03,185.464,13.09,1391.52,33.084,37.9358,26.7945,55.6127,40.2814,18.1905,50.993
5/29/2000,71.7267,112.03,185.464,13.09,1391.52,33.084,37.9358,26.7945,55.6127,40.2814,18.1905,50.993
5/30/2000,76.329,120.032,191.262,13.29,1417.02,34.1529,38.7821,27.521,58.191,41.5821,18.4277,51.9042
5/31/2000,75.3739,119.668,190.869,13.25,1420.66,34.1156,38.7609,27.3979,57.9061,41.5245,18.5355,52.0941
6/1/2000,79.1078,125.579,194.899,13.44,1442.52,34.7867,39.2898,27.6072,59.5016,42.3642,18.6757,52.9674
