as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086
3/20/2000,14.5613,12.0834,23.9559,10.8713,25.7395,12.4278,69.6699,44.3829,51.2178,37.3935,27.274,13.3754,22.7918,56.7654,11.6312,10.4522,1160.26,73.4963
3/21/2000,14.6391,12.2934,24.1837,11.1704,25.7959,12.5186,69.6699,45.2011,52.5029,38.5273,27.4845,13.4255,22.9898,58.2184,11.7423,10.6066,1183.01,74.9159
3/22/2000,14.7725,12.5326,24.1267,11.1498,26.6985,12.5791,69.6699,45.9574,54.0046,39.6821,28.3772,13.7461,23.103,60.1337,12.1231,10.5757,1176.51,78.6222
3/23/2000,14.9059,12.6202,24.3403,11.2529,26.8678,12.8313,69.6699,46.069,54.4239,39.85,28.5731,13.8964,23.3152,60.596,12.2342,10.689,1197.64,78.0695
3/24/2000,14.8836,12.5093,24.3403,11.3458,27.0511,12.9423,69.6699,46.3045,54.2751,40.039,28.7183,13.8864,23.2162,60.596,12.2183,10.6684,1209.01,78.1995
3/25/2000,14.8836,12.5093,24.3403,11.3458,27.0511,12.9423,69.6699,46.3045,54.2751,40.039,28.7183,13.8864,23.2162,60.596,12.2183,10.6684,1209.01,78.1995
3/26/2000,14.8836,12.5093,24.3403,11.3458,27.0511,12.9423,69.6699,46.3045,54.2751,40.039,28.7183,13.8864,23.2162,60.596,12.2183,10.6684,1209.01,78.1995
3/27/2000,14.7058,12.4393,24.141,11.2117,26.8678,12.9423,69.6699,46.2425,54.0993,39.6821,28.5513,13.9766,23.1172,60.3979,12.25,10.6169,1191.14,78.3187
3/28/2000,14.6613,12.2526,24.1694,11.1292,26.1767,12.8616,69.6699,45.5854,53.2605,39.2621,27.9562,13.8463,23.1313,59.5723,12.0438,10.6272,1197.64,76.1622
3/29/2000,14.7947,11.9842,24.2121,11.2839,25.4433,12.8716,69.6699,45.5854,52.2188,39.1782,27.0273,13.666,23.0181,58.4496,11.4725,10.6684,1192.76,72.2284
3/30/2000,14.8392,11.8033,24.4826,11.3251,24.597,12.7102,69.6699,44.5441,51.3125,37.7924,26.345,13.3855,22.9898,57.4259,10.9806,10.8332,1173.26,69.4108
3/31/2000,15.1949,12.1476,25.0093,11.4655,25.0343,13.0532,58.0416,46.2177,52.4353,38.1704,27.0127,13.8163,23.8387,58.6147,11.3932,11.1421,1173.26,71.3181
4/1/2000,15.1949,12.1476,25.0093,11.4655,25.0343,13.0532,58.0416,46.2177,52.4353,38.1704,27.0127,13.8163,23.8387,58.6147,11.3932,11.1421,1173.26,71.3181
4/2/2000,15.1949,12.1476,25.0093,11.4655,25.0343,13.0532,58.0416,46.2177,52.4353,38.1704,27.0127,13.8163,23.8387,58.6147,11.3932,11.1421,1173.26,71.3181
4/3/2000,15.017,11.5174,24.8811,11.6616,23.8213,12.8616,58.0416,44.9656,49.2832,36.0078,25.3072,13.4255,23.6265,54.9162,10.7584,11.0597,1174.89,65.4553
4/4/2000,14.7058,11.2957,24.6961,11.5378,23.2713,12.5186,51.2242,44.4449,48.6339,34.7691,24.5814,13.125,23.1313,54.4208,10.3935,10.967,1142.39,63.082
4/5/2000,14.7725,11.4124,24.8527,11.4965,23.7931,12.5993,51.2242,44.73,48.9721,35.7139,24.9226,13.3454,23.3435,54.7841,10.6156,11.0082,1160.26,65.5095
4/6/2000,14.9503,11.745,25.1374,11.5894,24.5406,12.8313,51.2242,45.3747,49.9867,36.9526,25.6773,13.656,23.8104,55.8408,11.171,11.0803,1189.51,69.3566
4/7/2000,14.8836,11.9317,25.1089,11.4965,25.1471,12.9019,51.2242,46.2301,51.1636,38.1074,26.316,13.9265,24.1782,57.1617,11.5677,11.1009,1197.64,72.0225
4/8/2000,14.8836,11.9317,25.1089,11.4965,25.1471,12.9019,51.2242,46.2301,51.1636,38.1074,26.316,13.9265,24.1782,57.1617,11.5677,11.1009,1197.64,72.0225
4/9/2000,14.8836,11.9317,25.1089,11.4965,25.1471,12.9019,51.2242,46.2301,51.1636,38.1074,26.316,13.9265,24.1782,57.1617,11.5677,11.1009,1197.64,72.0225
4/10/2000,14.8281,11.4707,25.1231,11.5274,23.8778,12.8616,51.2242,44.5441,48.6203,36.6797,25.028,13.5658,23.8104,54.3218,11.0123,11.07,1179.76,66.5064
4/11/2000,14.8392,11.2899,25.3366,11.5894,23.5675,12.68,51.2242,44.5565,48.5392,35.3149,24.3988,13.4355,23.9094,54.1236,10.7108,11.0803,1168.39,63.7322
4/12/2000,14.8169,10.934,25.5786,11.61,22.5661,12.6396,51.2242,43.7382,47.1728,33.1524,23.2218,13.0448,23.9802,52.3735,10.2824,11.1318,1147.26,59.5491
4/13/2000,14.7169,10.8406,25.5217,11.4862,22.2417,12.5489,48.4449,43.2175,46.3611,32.4385,22.7628,12.9346,24.1075,51.647,10.0444,11.1009,1135.89,58.8555
4/14/2000,14.05,10.0588,24.4399,10.9289,20.4364,11.8528,48.4449,43.2175,46.3611,29.7301,20.8307,12.083,22.6786,47.4861,9.13993,10.5036,1038.39,52.3425
4/15/2000,14.05,10.0588,24.4399,10.9289,20.4364,11.8528,48.4449,43.2175,46.3611,29.7301,20.8307,12.083,22.6786,47.4861,9.13993,10.5036,1038.39,52.3425
4/16/2000,14.05,10.0588,24.4399,10.9289,20.4364,11.8528,48.4449,43.2175,46.3611,29.7301,20.8307,12.083,22.6786,47.4861,9.13993,10.5036,1038.39,52.3425
4/17/2000,14.0944,10.3038,24.3972,11.0218,20.6903,11.7822,48.4449,42.3001,44.2237,30.9058,21.2527,12.2333,23.202,49.3024,9.56836,10.5654,1038.39,53.5346
4/18/2000,14.4613,10.8406,24.9238,11.2178,22.4533,12.0344,48.4449,43.701,46.5505,32.3125,22.6444,12.8444,23.8811,52.0102,10.0444,10.7611,1087.14,58.227
4/19/2000,14.5168,10.8931,25.0235,11.1456,22.4533,12.1353,47.9339,43.1555,46.0094,31.7666,22.6147,12.9446,23.9236,51.4818,10.0285,10.8229,1090.39,59.0506
4/20/2000,14.5168,10.8873,25.1089,11.2695,22.4956,12.3068,47.9339,43.6143,46.3882,31.8086,22.4519,12.9246,23.7679,51.9772,9.83811,10.8229,1074.14,57.3167
4/21/2000,14.5168,10.8873,25.1089,11.2695,22.4956,12.3068,47.9339,43.6143,46.3882,31.8086,22.4519,12.9246,23.7679,51.9772,9.83811,10.8229,1074.14,57.3167
4/22/2000,14.5168,10.8873,25.1089,11.2695,22.4956,12.3068,47.9339,43.6143,46.3882,31.8086,22.4519,12.9246,23.7679,51.9772,9.83811,10.8229,1074.14,57.3167
4/23/2000,14.5168,10.8873,25.1089,11.2695,22.4956,12.3068,47.9339,43.6143,46.3882,31.8086,22.4519,12.9246,23.7679,51.9772,9.83811,10.8229,1074.14,57.3167
